Shannon,Fisher,Fisher',GBP,E2,E3,R2,R3,G1,G2,G3,iso,aniso
1.5057 ,2.7580 ,2.8658 ,4.0516 ,0.1304 ,0.4417 ,0.8517 ,0.8536 ,-0.5218 ,2.0253 ,3.7390 ,25.9027 ,27.4376 
1.5183 ,2.7986 ,2.8380 ,4.0913 ,0.1297 ,0.2659 ,0.8503 ,0.8524 ,-0.5341 ,2.0091 ,3.7002 ,26.4914 ,25.7744 
1.4277 ,2.2844 ,2.4729 ,3.8705 ,0.1287 ,0.6167 ,0.8461 ,0.8300 ,-0.4223 ,1.9800 ,4.0081 ,20.6672 ,37.2019 
1.8968 ,3.5664 ,4.2682 ,4.7653 ,0.1294 ,0.2889 ,0.7948 ,0.8030 ,-0.6701 ,1.8994 ,2.8288 ,30.7579 ,19.9862 
1.4302 ,2.3423 ,2.4872 ,3.8851 ,0.1270 ,0.2901 ,0.8477 ,0.8332 ,-0.4382 ,1.9963 ,3.9854 ,21.5088 ,35.7217 
1.8940 ,3.5654 ,4.2583 ,4.7604 ,0.1286 ,0.2288 ,0.7926 ,0.8002 ,-0.6752 ,1.9015 ,2.8301 ,30.7830 ,20.1581 
1.4301 ,2.3424 ,2.4869 ,3.8850 ,0.1270 ,0.2891 ,0.8477 ,0.8332 ,-0.4382 ,1.9964 ,3.9854 ,21.5111 ,35.7187 
1.8940 ,3.5654 ,4.2582 ,4.7604 ,0.1285 ,0.2200 ,0.7926 ,0.8002 ,-0.6753 ,1.9016 ,2.8306 ,30.7832 ,20.1553 
1.4301 ,2.3419 ,2.4864 ,3.8848 ,0.1271 ,0.2932 ,0.8480 ,0.8337 ,-0.4372 ,1.9956 ,3.9883 ,21.5063 ,35.7290 
1.8941 ,3.5654 ,4.2581 ,4.7606 ,0.1285 ,0.2235 ,0.7956 ,0.8034 ,-0.6719 ,1.9090 ,2.8279 ,30.7845 ,20.1544 
1.5162 ,2.7861 ,2.8437 ,4.0822 ,0.1345 ,0.9698 ,0.8476 ,0.8459 ,-0.5332 ,2.0026 ,3.7073 ,26.3555 ,26.2336 
1.5230 ,2.8579 ,2.9510 ,4.0870 ,0.1300 ,0.3358 ,0.8402 ,0.8400 ,-0.5627 ,2.0202 ,3.6621 ,26.9709 ,25.2114 
1.4060 ,2.4901 ,2.3205 ,3.8733 ,0.1325 ,0.6297 ,0.8511 ,0.8425 ,-0.4857 ,1.9881 ,3.9181 ,24.0984 ,29.5940 
1.5242 ,2.7893 ,2.9422 ,4.0836 ,0.1303 ,0.3489 ,0.8480 ,0.8459 ,-0.5267 ,2.0134 ,3.7055 ,26.1060 ,27.8845 
1.5242 ,2.7891 ,2.9421 ,4.0836 ,0.1303 ,0.3495 ,0.8480 ,0.8459 ,-0.5266 ,2.0134 ,3.7055 ,26.1042 ,27.8920 
1.4061 ,2.4906 ,2.3207 ,3.8735 ,0.1325 ,0.6234 ,0.8511 ,0.8425 ,-0.4858 ,1.9882 ,3.9178 ,24.1071 ,29.5775 
